venue,link
Cabaret,https://comedybar.ca/shows/studio-wednesdays?ev=2025-09-03T20%3A30%3A00
Cabaret,https://comedybar.ca/shows/DK-Phan-and-Ronald-Hae-Live-Comedy-Album-Taping?ev=2025-09-04T19%3A00%3A00
Cabaret,https://comedybar.cahttps://comedybar.ca/class/stand-up-drop-in
Cabaret,https://comedybar.cahttps://comedybar.ca/class/date-night-drop-in
Cabaret,https://comedybar.ca/shows/hassan-phills-work-in-progress?ev=2025-08-31T19%3A00%3A00
Cabaret,https://comedybar.ca/shows/studio-thursdays?ev=2025-09-04T20%3A30%3A00
Cabaret,https://comedybar.ca/shows/Dylan-Carlino?ev=2025-09-05T19%3A00%3A00
Cabaret,https://comedybar.cahttps://comedybar.ca/class/improv-drop-in
Cabaret,https://comedybar.ca/shows/studio-sundays?ev=2025-08-31T19%3A30%3A00
Cabaret,https://comedybar.ca/shows/DK-Phan-and-Ronald-Hae-Live-Comedy-Album-Taping?ev=2025-09-04T21%3A00%3A00
Cabaret,https://comedybar.cahttps://comedybar.ca/class/improv-drop-in
Cabaret,https://comedybar.ca/shows/Dylan-Carlino?ev=2025-09-06T19%3A00%3A00
Cabaret,https://comedybar.ca/shows/hassan-phills-work-in-progress?ev=2025-08-31T21%3A00%3A00
Cabaret,https://comedybar.ca/shows/Dylan-Carlino?ev=2025-09-05T21%3A00%3A00
Cabaret,https://comedybar.cahttps://comedybar.ca/class/stand-up-drop-in
Cabaret,https://comedybar.ca/shows/three-headed-monster?ev=2025-09-05T21%3A30%3A00
Cabaret,https://comedybar.ca/shows/crush-city-comedy?ev=2025-09-06T20%3A00%3A00
Cabaret,https://comedybar.ca/shows/Dylan-Carlino?ev=2025-09-06T21%3A00%3A00
Cabaret,https://comedybar.ca/shows/saturday-night-showcase?ev=2025-09-06T21%3A30%3A00
Danforth,https://comedybar.ca/shows/Sean-McLoughlin?ev=2025-08-08T20%3A30%3A00
Danforth,https://comedybar.ca/shows/The-Kickback-Ottawa?ev=2025-08-09T20%3A30%3A00
Danforth,https://comedybar.ca/shows/Amateur-Contender-Series?ev=2025-08-10T20%3A30%3A00
Danforth,https://comedybar.ca/shows/Nick-Burden?ev=2025-08-15T20%3A30%3A00
Danforth,https://comedybar.ca/shows/Nick-Burden?ev=2025-08-16T20%3A30%3A00
Danforth,https://comedybar.ca/shows/Amateur-Contender-Series?ev=2025-08-17T20%3A30%3A00
